2024-09-05 14:45:53.079 [info] Default formatter is set to null for workspace /home/ardyop7
2024-09-05 15:04:32.776 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:04:35.325 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:04:37.074 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:04:40.450 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:04:45.720 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:04:48.099 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:04:52.382 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:04:59.194 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:05:04.173 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:05:07.831 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:05:13.405 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:06:47.369 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:06:52.561 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:06:58.610 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:07:09.393 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:07:19.986 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:07:44.295 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:07:55.075 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:08:01.266 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:08:03.451 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:08:05.891 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:08:13.203 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:08:18.472 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:08:27.358 [info] > /bin/python /google/devshell/editor/code-oss-for-cloud-shell/extensions/ms-python.python/python_files/normalizeSelection.py
2024-09-05 15:08:28.774 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:08:30.073 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:08:54.731 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:08:58.191 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:09:00.653 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:09:32.410 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:09:48.571 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:09:51.656 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:09:54.495 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:09:57.509 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:01.058 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:03.431 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:08.379 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:11.993 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:14.827 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:18.070 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:19.439 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:22.410 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:23.874 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:43.111 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:45.262 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:10:51.484 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:11:08.570 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:11:14.933 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:11:30.963 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:11:46.387 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:11:50.357 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:12:40.343 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:12:42.778 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:13:01.689 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:14:42.533 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:14:54.711 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:15:02.892 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:16:12.313 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:16:17.190 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 15:16:20.994 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 15:16:27.439 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 15:16:32.123 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 15:16:45.453 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:16:49.868 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:16:55.690 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/main.py
2024-09-05 15:17:21.476 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
2024-09-05 15:17:37.307 [info] Discover tests for workspace name: ardyop7 - uri: /home/ardyop7/discord.py/getapi.py
